name,date,lang,dur,genre,direc,act,c_rate,u_rate,desc,poster
Mumbai Salsa,"26 Oct, 2007",['Drama'],,,Manoj Tyagi,,3.5,2.8,Scriptwriter Manoj Tyagi picks up vignettes from real life and makes an impressive debut as a director too. And helping him in creating this eclectic mix are his band of fresh new performers.,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
No Smoking,"26 Oct, 2007",['Drama'],,,Anurag Kashyap,,1.5,2.7,"No Smoking leaves you completely baffled and desperately looking for logic in its surreal sequences of John in a jaded jail, John in a tunnel, John in a bathtub, John in Siberia-like surroundings.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Aggar,"14 Sep, 2007",['Thriller'],,,Anant Mahadevan,,2,2.3,The film's predictable and foregone with Shreyas Talpade making the biggest career faux pas after successful characterisations in Iqbal and Dor.,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Saawariya,"09 Nov, 2007",['Drama'],,,Sanjay Leela Bhansali,,3,2.9,"Go for it when you are in a rhapsodic mood and you might just rave about it. But if you’re looking for fun, Saawariya isn’t the answer.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Darling,"07 Sep, 2007",['Drama'],,,Ram Gopal Varma,"['fardeen khan', 'Esha Deol', 'Isha Koppikar']",1.5,2.6,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Johnny Gaddaar,"28 Sep, 2007",['Thriller'],,,Sriram Raghavan,,3.5,3.7,"The film teasingly weaves and winds its way through the dark recesses of the human psyche and comes up with an ace, when you least expect it.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
It's Breaking News,"05 Oct, 2007",['Drama'],,,Harsh ChhayaActor,,2,2.2,"Motive's right, movie isn't. Only for those who want the answer to the current media question: Are Sting operations good, bad, timely or tasteless.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Nanhe Jaisalmer,"14 Sep, 2007",['Drama'],,,Samir Karnik,,2,3.3,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Apna Asmaan,"07 Sep, 2007",['Drama'],,,Kaushik Roy,,3,2.9,This one's a must for all parents who push their kids too hard and nurture stereotypical dreams for their young ones.,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Kaisay Kahen,"24 Aug, 2007",['Drama'],,,Shital ShahActor,,2.5,2.2,"A sensible take on the emotional problems of the young and restless careerists, the film fails in the acting department and needs a bit more life to rev up the drama.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Dhamaal,"07 Sep, 2007",['Comedy'],,,Indra Kumar,"['Sanjay Dutt', 'Riteish Deshmukh', 'Arshad Warsi']",3,3.5,"The highpoint of the film isn’t the script which is a foregone tale. Rather, it is the chemistry between the bunch of chokras.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Go,"05 Oct, 2007",['Thriller'],,,,,2,1.6,"Actually, if you remember Ramu's Daud, then you might just end up realising that Go is Daud re-visited. Go — and get bored.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Heyy Babyy,"24 Aug, 2007",['Comedy'],,,Sajid Khan,"['Akshay Kumar', 'fardeen khan', 'Riteish Deshmukh']",3,3.1,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Buddha Mar Gaya,"17 Aug, 2007",['Comedy'],,,Rahul Rawail,"['Anupam Kher', 'Om Puri', 'Paresh Rawal']",2,1.8,"With such a battery of veterans trying to tickle your funny bone, you thought you might literally die laughing. But then again, what’s that popular adage of too many cooks and spoilt broth.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Chakde! India,"10 Aug, 2007",['Drama'],,,Shimit Amin,,4,4.2,"Chakde's Kabir Khan remains one of Shah Rukh's finest performances: measured, straight from the heart and minus all mannerisms.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Om Shanti Om,"09 Nov, 2007",['Drama'],,,Farah Khan,"['Shah Rukh Khan', 'Deepika Padukone', 'Shreyas Talpade']",3.5,3.5,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Kaafila,"10 Aug, 2007",['Drama'],,,"Ammtoje Mann, Actor",,1.5,1.8,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Loins of Punjab,"21 Sep, 2007",['Comedy'],,,Shabana AzmiActor,,3.5,3.1,"A fond and indulgent tribute to NRI-ied India and apna Bollywood and Tellywood, this film comes straight from the Loin's heart.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
My Friend Ganesha,"06 Jul, 2007",['Drama'],,,Ahsaas ChannaActor,,,0,"The unconvincing performance by young Ahsaas in a cinema where kids are literally stealing the show right now, you have a completely lacklustre film. Hanuman seems to be the only winner here.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
The Train,"08 Jun, 2007",['Drama'],,,Raksha Mistry,,,0,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Aaja Nachle,"30 Nov, 2007",['Drama'],,,Anil Mehta,"['Madhuri Dixit', 'Akshaye Khanna', 'Kunal Kapoor']",2.5,3.2,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Ta Ra Rum Pum,"27 Apr, 2007",['Drama'],,,Siddharth Anand,,,0,"The film lacks the originality of Siddharth Anand's previous film, Salaam Namastey. Yet, it is the right get a fix for the Great Indian Family.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Speed,"19 Oct, 2007",['Thriller'],,,Vikram Bhatt,"['Zayed Khan', 'Sanjay Suri', 'Urmila Matondkar']",2,1.7,Vikram Bhatt has given us some great Hollywood rip-offs but Speed isn't one of them. Nor is it engrossing original fare.,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
With Luv...Tumhaara,"01 Dec, 2006",['Drama'],,,Preeti JhangianiActor,,,0,"Honestly, there's nothing to recommend here. Unless you'd like to see Anupama Verma pout some more after the tele-show Big Boss and Preeti float around in the hills, ashen and white.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Unns,"17 Nov, 2006",['Romance'],,,Sanjay KapoorActor,,,0,"After Vivah, here's another film which promotes the sanctity of marriage. Rituparna's a fine actress, but she needs a fine script too.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Partner,"20 Jul, 2007",['Comedy'],,,David Dhawan,"['Salman Khan', 'Govinda', 'Katrina Kaif']",2.5,3.6,"It is the chemistry between Salman and Govinda which carries the film through. Yet, this too isn't enough to tickle your funny bone.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Vivah,"10 Nov, 2006",['Romance'],,,Sooraj Barjatya,,,0,"The film has no story whatsoever and is just a plain and simple documentation of something as banal as an engagement to a vivah, interspersed with the usual picnics and clandestine rooftop trips.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Umrao Jaan,"03 Nov, 2006",['Romance'],,,Aishwarya RaiActor,,,0,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Raqeeb,"18 May, 2007",['Thriller'],,,Anurag Singh,"['tanushree dutta', 'Rahul Khanna', 'Sharman Joshi']",,0,"Crafted as a racy thriller, it ends up as a smart little film that comes from nowhere, minus all fanfare, without any starry baggage and yet, it manages to hold your interest.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Bhool Bhulaiyya,"12 Oct, 2007",['Drama'],,,Priyadarshan,"['Akshay Kumar', 'Vidya Balan', 'Shiney Ahuja']",2,3.5,"Priyadarshan holds his usual parade of familiar faces: Paresh Rawal, Rajpal Yadav, Asrani. But nothing seems to work this time.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Shakalaka Boom Boom,"06 Apr, 2007",['Drama'],,,Suneel Darshan,"['Upen Patel', 'Bobby Deol', 'Kangana Ranaut']",,0,"Completely convoluted, quite-quite crazy, Shakalaka Boom boomerangs miserably with nothing to save it at the box office.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Say Salaam India,"30 Mar, 2007",['Drama'],,,Subhash Kapoor,,,0,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Red,"09 Mar, 2007",['Thriller'],,,Vikram Bhatt,,,0,"It's neither edge-of-the-seat, nor intense and dark. Just bleak. Watch it if you want to see Celina non-perform and Aftab video-walk to Himesh Reshamiya's faltu tunes.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Sarhad Paar,"23 Nov, 2006",['Drama'],,,Raman Kumar,,,0,"For the first time, perhaps, a Hindi film actually mirrors the changing political sentiment between India and Pakistan and talks of a 'dosti' between the two countries.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Salaam-E-Ishq,Romance,,,,Salman KhanActor,"['Priyanka Chopra', 'John Abraham', 'Vidya Balan']",,0,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Risk,Action,,,,Vishram Sawant,"['Randeep Hooda', 'tanushree dutta', 'Vinod Khanna']",,0,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Cash,"03 Aug, 2007",['Action'],,,Anubhav Sinha,"['Zayed Khan', 'Riteish Deshmukh', 'Esha Deol']",2.5,2.8,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Rocky,"22 Sep, 2006",['Drama'],,,Suresh Krissna,"['Zayed Khan', 'Isha Sharvani', 'Minissha Lamba']",,0,"Zayed Khan is sweet. But somehow, his solo act doesn’t seem to sell especially when there’s nothing new around which he can spin the naach-gaana and the dishum-dishum.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Manorama Six Feet Under,"21 Sep, 2007",['Mystery'],,,Navdeep Singh,"['Abhay Deol', 'Gul Panag', 'Raima Sen']",3,3.8,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Shiva,"15 Sep, 2006",['Action'],,,Ram Gopal Varma,,,0,The first re-make from the Ram Gopal Varma Factory and the result is just quite okay. The problem with Shiva is its dated feel.,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Pyaar Ke Side Effects,"15 Sep, 2006",['Romantic Comedy'],,,Saket Chaudhary,,,0,"The film begins on a breezy note as a satire on relationship but it soon becomes a comedy that loses its laugh lines, midway.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Shaadi Karke Phas Gaya Yaar,"04 Aug, 2006",['Drama'],,,Salman KhanActor,,,0,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Bow Barracks Forever,"27 Jul, 2007",['Drama'],,,Anjan Dutt,,3,2.4,A little more attention to production details with some cutting edge editing would have made the film a complete winner. Go for it nevertheless to savour an India that might soon disappear.,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Omkara,"28 Jul, 2006",['Drama'],,,Vishal Bhardwaj,"['Kareena Kapoor', 'Konkona Sen Sharma', 'Bipasha Basu']",4,3.2,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Bombay To Goa,"06 Jul, 2007",['Comedy'],,,Ehsaan QureshiActor,,,0,"May be, if our stand-up comedians had been left to themselves, minus a bungling director, they would have delivered the gags better.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Phir Hera Pheri,"09 Jun, 2006",['Comedy'],,,Neeraj Vora,"['Akshay Kumar', 'Suniel Shetty', 'Paresh Rawal']",2.5,2.5,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Apne,"29 Jun, 2007",['Drama'],,,Anil Sharma,"['Dharmendra', 'Sunny Deol', 'Bobby Deol']",,0,This one comes straight from Dharmendra's heart. You can see his earnestness shine through as he desperately tries to raise a toast for the karmayoddhas of yore.,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Chain Kulli ki Main Kulli,"22 Jun, 2007",['Drama'],,,Rahul BoseActor,,,0,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Dharm,"08 Jun, 2007",['Drama'],,,Bhavna Talwar,,,0,Dharm is a film that needs to be made mandatory viewing in all schools across India if we really want to build a secular nation.,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Saawan... The Love Season,"07 Apr, 2006",['Romance'],,,Salman KhanActor,,1,1.6,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Shaadi Se Pehle,"07 Apr, 2006",['Comedy'],,,Satish Kaushik,"['Akshaye Khanna', 'Ayesha Takia', 'Mallika Sherawat']",2,2,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Cheeni Kum,"25 May, 2007",['Romance'],,,Amitabh BachchanActor,,,0,"The high-point of the film is its screenplay, laced with witticism, and the warm and winsome relationships that the director succeeds in sculpting.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Souten,"24 Mar, 2006",['Drama'],,,Karan Razdan,,2,1.8,Director tries to pitch a stepmother as a souten but fails to whip up the requisite drama. The uninspired acting and loose editing is largely to blame.,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Ek Chalis Ki Last Local,"18 May, 2007",['Drama'],,,Abhay DeolActor,,,0,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Big Brother,Action,,,,Guddu Dhanoa,,,0,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
I See You,"29 Dec, 2006",['Drama'],,,Arjun RampalActor,,,0,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Bheja Fry,"13 Apr, 2007",['Comedy'],,,Sagar Ballary,"['Vinay Pathak', 'Rajat Kapoor', 'sarika']",,0,"Bheja Fry may be a film about an idiot but it's so darn intelligent, it simply makes your day. Welcome to a new brand of Bollywood which relies more on brains than brawn.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Delhii Heights,"30 Mar, 2007",['Drama'],,,Anand Kumar,"['Jimmy Sheirgill', 'Neha Dhupia', 'Rohit Roy']",,0,"Not even Rabbi Shergill can salvage the Capital spirit in this film, simply because his chartbuster Tere bin is Delhi history by now.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Eklavya,"16 Feb, 2007",['Drama'],,,Vidhu Vinod Chopra,"['Amitabh Bachchan', 'Saif Ali Khan', 'Vidya Balan']",,0,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Naya Daur,"03 Aug, 2007",['Drama'],,,Dilip KumarActor,,3.5,2.5,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Black Friday,"09 Feb, 2007",['Thriller'],,,Anurag Kashyap,"['Kay Kay Menon', 'Pavan Malhotra', 'Aditya Srivastava']",,0,"Director Anurag Kashyap's cinema is powerful, pointed and hard-hitting that needs to be seen. Not for entertainment, but for soch-vichar.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Naqaab,"13 Jul, 2007",['Thriller'],,,Bobby DeolActor,,2.5,2.1,"The problem with the film lies in its transparency. It's a love triangle, where you know at the very onset who's cheating on whom and who's going to end up the victim. The slow pace is a problem too.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Miss Anara,"01 Jan, 2007",['Drama'],,,Anara GuptaActor,,,0,"We aren’t doubting the veracity of the story. We only wish it had been made more tastefully. For Miss Anara, we recommend a return to academics, as a film career is definitely not cut-out for her.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Bhagam Bhaag,"22 Dec, 2006",['Comedy'],,,Priyadarshan,"['Paresh Rawal', 'Akshay Kumar', 'Govinda']",,0,Priyadarshan fails to deliver the climactic comedy that would have sent us goof-balled and gung-ho into the New Year.,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Aryan,"15 Dec, 2006",['Drama'],,,Abhishek Kapoor,,,0,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Jhoom Barabar Jhoom,"15 Jun, 2007",['Romance'],,,Shaad Ali Sahgal,"['Abhishek Bachchan', 'Preity Zinta', 'Bobby Deol']",,0,"Jhoom Barabar Jhoom shows a great disconnect, both with the cosmopolitan viewer and the mofussil dreamer. This one might just end up as the great summer let-down.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Mera Pehla Pehla Pyaar,"08 Jun, 2007",['Romance'],,,Robby Grewal,,,0,"Time-pass fare for teens, MP3 could have been imbued with more masti and masala to make it a fun-filled desi Grease.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Baabul,"08 Dec, 2006",['Drama'],,,Ravi Chopra,"['Amitabh Bachchan', 'Hema Malini', 'Salman Khan']",,0,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Life In A...Metro,"11 May, 2007",['Drama'],,,Anurag Basu,"['Kay Kay Menon', 'Shilpa Shetty', 'Kangana Ranaut']",,0,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Gauri,"30 Nov, 2007",['Horror'],,,Aku Akbar,,2,1.8,Watch out for child actor Rushita Pandya who plays a robust role in lending the film a few chills and thrills. The rest is sanctimonious and has confused ethics.,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Kya Love Story Hai,"20 Apr, 2007",['Romance'],,,Lovely Singh,,,0,"This film merely reprises Tusshar Kapoor's role of a shy lover boy who prefers to spends three hours of reel time, without saying the simple 'I Love You'.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Apna Sapna Money Money,"10 Nov, 2006",['Comedy'],,,Sangeeth Sivan,"['Riteish Deshmukh', 'riya sen', 'Shreyas Talpade']",,0,"Silly, yet funny in places, this one gently slips off the conveyor belt of kitschy comedies which have been rolling out of Bollywood recently.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Namastey London,"23 Mar, 2007",['Romance'],,,Akshay KumarActor,,,0,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
"Deadline, Sirf 24 Ghante","10 Nov, 2006",['Thriller'],,,Irrfan KhanActor,,,0,"Fine actors, faltu script: that's the fate of this film which could have been an edge-of-the-seat thriller if its story hadn't been so predictable and it's situations tame.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Just Married,"16 Mar, 2007",['Drama'],,,Meghna Gulzar,"['fardeen khan', 'Esha Deol', 'Satish Shah']",2,2,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Don,"20 Oct, 2006",['Drama'],,,Farhan Akhtar,"['Shah Rukh Khan', 'Priyanka Chopra', 'Boman Irani']",,0,The lesson has been learnt. Let's just leave Mr Bachchan's films alone and forget re-makes of all those golden oldies.,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Dor,"22 Sep, 2006",['Drama'],,,Nagesh Kukunoor,"['Gul Panag', 'Ayesha Takia', 'Shreyas Talpade']",3.5,3.2,The film touches your soul once again and makes you end up doing Salaam Namaste to the brave new spirit. Don’t give Dor a miss.,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Kudiyon Ka Zamana,Drama,,,,RekhaActor,,,0,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Bas Ek Pal,"15 Sep, 2006",['Drama'],,,Onir,"['Juhi Chawla', 'Sanjay Suri', 'Urmila Matondkar']",,0,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Gandhi My Father,"03 Aug, 2007",['Drama'],,,Feroz Abbas Khan,"['Akshaye Khanna', 'Shefali Shah', 'Bhoomika Chawla']",3.5,3.6,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Kabul Express,"15 Dec, 2006",['Drama'],,,Kabir Khan,,,0,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Dil Diya Hai,"08 Sep, 2006",['Drama'],,,Emraan HashmiActor,,,0,There's no Tanushree displaying her backless splendour and Himmesh has become a synonym for deja vu. All you have is Emraan Hashmi replaying his grey zone tactics and Ashmit opting for all black.,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Aap Ki Khatir,"25 Aug, 2006",['Drama'],,,Dharmesh Darshan,,,0,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Jaan-E-Mann,"20 Oct, 2006",['Romance'],,,Shirish Kunder,"['Salman Khan', 'Akshay Kumar', 'Preity Zinta']",,0,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Fool N Final,"01 Jun, 2007",['Comedy'],,,Shahid KapoorActor,,2,1.8,Fool N Final brings down the career graph of Shahid and Viveik with its insipid script and its no-laughs comedy which provides no room for histrionics.,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Ahista Ahista,"18 Aug, 2006",['Romance'],,,Shivam Nair,,,0,A little more life and vigour infused in the storytelling would have gone a long way in making it a memorable affair.,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Good Boy Bad Boy,"11 May, 2007",['Drama'],,,Ashwini Chaudhary,"['Emraan Hashmi', 'Tusshar Kapoor', 'tanushree dutta']",,0,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Darwaza Bandh Rakho,"04 Aug, 2006",['Thriller'],,,Aftab ShivdasaniActor,,,0,"A repetitive plot, lack lustre performances and too much of a closed-door approach once again foil this experiment from Ram Gopal's Fillum Factory.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Anthony Kaun Hai,"04 Aug, 2006",['Thriller'],,,Raj Kaushal,"['Sanjay Dutt', 'Arshad Warsi', 'Minissha Lamba']",,0,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Swami,"08 Jun, 2007",['Drama'],,,Ganesh Acharya,,,0,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Aparichit,"19 May, 2006",['Action'],,,Shankar,,2.5,2.9,"The high point of the film are its action sequences, a desi Matrix meets X Men masala mix. This one is strictly for action buffs.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Shootout At Lokhandwala,"25 May, 2007",['Thriller'],,,Apoorva Lakhia,"['Amitabh Bachchan', 'Sanjay Dutt', 'Suniel Shetty']",,0,"The pace of the movie is relentless, the performances are memorable, the tenor is dramatic, yet realistic and the violence hits hard and proper.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Ankahee,"19 May, 2006",['Drama'],,,Vikram Bhatt,,2.5,2,Ankahee boasts of neither the rawness of passion nor the cutting edge of pain that Arth managed to convey through its high octane emotional quotient.,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Naksha,"08 Sep, 2006",['Thriller'],,,Sachin Bajaj,"['Sunny Deol', 'Sameera Reddy', 'Jackie Shroff']",,0,"This one's straight out of ancient Bollywood where savage Lilliputians roamed the forest, trussed up the heroes, upside down and rent the screen apart with their jhingi-lala war cries.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Aksar,"03 Feb, 2006",['Thriller'],,,Emraan HashmiActor,"['Dino Morea', 'Udita Goswami', 'Tara Sharma']",2.5,2.6,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Life Mein Kabhie Kabhiee,"13 Apr, 2007",['Drama'],,,Vikram Bhatt,"['Dino Morea', 'Nauheed Cyrusi', 'Aftab Shivdasani']",,0,Get ready to rub shoulders with a bunch of confused yuppies in a boring film that goes blah-blah about life's priorities.,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Being Cyrus,"24 Mar, 2006",['Thriller'],,,Homi Adajania,"['Saif Ali Khan', 'Naseeruddin Shah', 'Dimple Kapadia']",3.5,2.5,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Khosla Ka Ghosla,"22 Sep, 2006",['Comedy'],,,Dibakar Banerjee,"['Anupam Kher', 'Boman Irani', 'Tara Sharma']",,0,"A small, unpretentious venture with some real funny performances, especially by Boman Irani as the crude, crotch-scratching south Delhi businessman.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Kabhi Alvida Naa Kehna,"11 Aug, 2006",['Drama'],,,Karan Johar,"['Amitabh Bachchan', 'Shah Rukh Khan', 'Abhishek Bachchan']",,0,"Too long. Too tedious. And strangely plastic. No, this time, Karan Johar seems to have got the formula somewhat skewed.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Honeymoon Travels Pvt. Ltd.,"23 Feb, 2007",['Drama'],,,Reema Kagti,"['Abhay Deol', 'Minissha Lamba', 'Kay Kay Menon']",,0,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Krrish,"23 Jun, 2006",['Drama'],,,"Hrithik Roshan, Actor","['Priyanka Chopra', 'Rekha', 'Naseeruddin Shah']",3,3.4,The problem with Krrish lies in the fact that it lacks the fun quotient which Koi Mil Gaya was generously sprinkled with.,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Banaras,"07 Apr, 2006",['Drama'],,,Pankaj Parashar,"['Urmila Matondkar', 'Ashmit Patel', 'Naseeruddin Shah']",1.5,2.2,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Rang De Basanti,"26 Jan, 2006",['Drama'],,,Rakeysh Omprakash Mehra,"['Aamir Khan', 'Alice Patten', 'Siddharth']",,0,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Hattrick,"16 Mar, 2007",['Drama'],,,Milan Luthria,"['Paresh Rawal', 'Rimi Sen', 'Kunal Kapoor']",2.5,2.3,The first cricket movie to cash in on the World Cup fever and this one is a No Ball or simply an overthrow that misses the wicket by quite a distance.,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Corporate,"07 Jul, 2006",['Drama'],,,Madhur Bhandarkar,"['Bipasha Basu', 'Kay Kay Menon', 'Minissha Lamba']",,0,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Guru,"12 Jan, 2007",['Drama'],,,Mani Ratnam,"['Abhishek Bachchan', 'Aishwarya Rai', 'Vidya Balan']",,0,Guru is an important film as it tackles a fresh subject and raises a pertinent query about accelerating corporate juggernaut.,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Traffic Signal,"02 Feb, 2007",['Drama'],,,Madhur Bhandarkar,"['Kunal Khemu', 'Neetu Chandra', 'Sudhir Mishra']",,0,The director simply scores in creating stirring vignettes of Mumbai's street life. But these aren't enough to hold the film together.,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Chand Ke Paar Chalo,"31 Mar, 2006",['Romance'],,,Preeti JhangianiActor,,1.5,1.6,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
